ASIN,Group_int,TF_IDF
038548125X,0,"  (0, 204)	1.0"
0838531377,0,
0471346608,0,"  (0, 568)	0.5127706698847654
  (0, 73)	0.5462349211172951
  (0, 68)	0.4721051964467084
  (0, 359)	0.30734920229581264
  (0, 543)	0.34834867933444746"
0684868008,0,"  (0, 549)	1.0"
0736625801,0,"  (0, 409)	0.8045502869266976
  (0, 449)	0.5938845307011865"
0380819546,0,"  (0, 533)	0.7142890126485235
  (0, 532)	0.6998508458304508"
0590464272,0,"  (0, 687)	0.6985359947255484
  (0, 474)	0.7155749185604457"
0849943221,0,"  (0, 93)	0.6188556319840167
  (0, 703)	0.462396631851715
  (0, 728)	0.6349858751294023"
0140445684,0,"  (0, 249)	0.48657354912202816
  (0, 604)	0.4691517723848383
  (0, 118)	0.49742248566018005
  (0, 577)	0.4073928430009628
  (0, 150)	0.3602009688968078"
0688060676,0,"  (0, 93)	1.0"
B0000060TP,3,"  (0, 229)	0.786518870758524
  (0, 459)	0.617566244172021"
0878301534,0,"  (0, 200)	1.0"
0312871880,0,"  (0, 399)	1.0"
1579473024,0,"  (0, 743)	0.8519245882492839
  (0, 252)	0.5236644879465174"
0767905288,0,"  (0, 344)	0.6722211928509573
  (0, 39)	0.5377474072594978
  (0, 449)	0.5088677567578083"
078795893X,0,
0743504097,0,"  (0, 460)	0.8514739182469105
  (0, 73)	0.5243969551258413"
B00003Q5AH,1,"  (0, 96)	1.0"
0452011604,0,"  (0, 661)	0.38418718660560014
  (0, 400)	0.4564800377457014
  (0, 824)	0.3928396396441046
  (0, 252)	0.2646437906701824
  (0, 827)	0.4512943962600603
  (0, 398)	0.36506195903325395
  (0, 876)	0.28762822591469356"
0781433525,0,"  (0, 623)	0.6073375320011555
  (0, 341)	0.5957731326757955
  (0, 868)	0.5255430492399406"
B00003Q5AA,1,"  (0, 625)	1.0"
1886110867,0,"  (0, 112)	1.0"
0590108859,0,"  (0, 689)	1.0"
0195044193,0,"  (0, 126)	0.4226416964262168
  (0, 10)	0.5367564689883461
  (0, 127)	0.48218202224934975
  (0, 868)	0.4200294340225016
  (0, 39)	0.3526219809022077"
1581127723,0,"  (0, 842)	1.0"
0806626062,0,"  (0, 420)	0.5932671994329428
  (0, 24)	0.6401859720155014
  (0, 803)	0.488053225900168"
0743202554,0,"  (0, 410)	0.6545373207964832
  (0, 661)	0.6133517819342712
  (0, 543)	0.44201865037870974"
0812550749,0,
B00000IC80,2,"  (0, 341)	1.0"
B00000IC83,2,"  (0, 409)	0.6877601806712328
  (0, 841)	0.5188949276617695
  (0, 449)	0.5076750810606723"
0140272100,0,
0939343347,0,"  (0, 67)	0.4982395180585161
  (0, 346)	0.530428672467751
  (0, 186)	0.530428672467751
  (0, 89)	0.4347967680342348"
B00000IC89,2,"  (0, 811)	0.5704732399826166
  (0, 744)	0.447979592413451
  (0, 481)	0.46603555428036325
  (0, 411)	0.5066413222304404"
0553487388,0,"  (0, 287)	0.7677571715557109
  (0, 687)	0.6407409191902566"
0804119368,0,"  (0, 550)	0.583194211310761
  (0, 859)	0.6495136690513224
  (0, 565)	0.48786935301278017"
0810939770,0,"  (0, 539)	1.0"
0931892813,0,"  (0, 291)	1.0"
0895296586,0,"  (0, 466)	0.5698626212150741
  (0, 663)	0.6423845925451884
  (0, 367)	0.5124437805285934"
0807842109,0,"  (0, 202)	1.0"
0226309045,0,"  (0, 31)	0.6447848998249762
  (0, 57)	0.6447848998249762
  (0, 449)	0.41049344198828636"
0385332998,0,
0471394327,0,
0064470954,0,
0838514944,0,"  (0, 816)	0.7030559781433807
  (0, 223)	0.7111345101996206"
0415276322,0,"  (0, 603)	0.769130781850132
  (0, 689)	0.6390914178821406"
B00000IC8Z,2,"  (0, 707)	1.0"
0299183106,0,"  (0, 865)	0.6960241863903992
  (0, 316)	0.7180183367850594"
1858600073,0,"  (0, 138)	0.4746297112250385
  (0, 279)	0.4860969916633932
  (0, 572)	0.4950073183276294
  (0, 409)	0.43579905903904514
  (0, 449)	0.32168818265675736"
B00000IC8F,2,"  (0, 31)	1.0"
B00000IC8N,3,"  (0, 199)	0.6736326285696494
  (0, 715)	0.7390663581346026"
0788194607,0,"  (0, 43)	0.5206670603876238
  (0, 693)	0.5883779098088513
  (0, 441)	0.6186414530859354"
B00000IC8L,2,"  (0, 841)	1.0"
0465024769,0,"  (0, 168)	0.4112635177543219
  (0, 147)	0.4256649750381453
  (0, 189)	0.37760955236114724
  (0, 667)	0.3965382183635196
  (0, 272)	0.3904329233601884
  (0, 871)	0.35689946532149214
  (0, 449)	0.26462240899528056"
0060195207,0,"  (0, 292)	0.8460532301336081
  (0, 876)	0.5330984259782502"
0768907152,0,"  (0, 720)	0.4147101209134312
  (0, 870)	0.366775181308084
  (0, 790)	0.7952761005483346
  (0, 703)	0.24703725606682142"
041523008X,0,"  (0, 193)	0.5566195754080157
  (0, 58)	0.415043890962818
  (0, 398)	0.4793513291901574
  (0, 378)	0.3949287473811722
  (0, 543)	0.3635475272128978"
6303454488,3,
1573229326,0,"  (0, 344)	1.0"
1570718903,0,"  (0, 710)	0.4732908437061622
  (0, 881)	0.4102519988781005
  (0, 6)	0.45242003932525326
  (0, 432)	0.5159998635312552
  (0, 352)	0.36979632709519245"
0916990419,0,"  (0, 517)	1.0"
0883680947,0,"  (0, 138)	1.0"
0671562711,0,"  (0, 449)	1.0"
0873376129,0,"  (0, 252)	0.5672783523549068
  (0, 245)	0.8235261203808305"
1584230169,0,"  (0, 625)	1.0"
0944448143,0,"  (0, 616)	1.0"
1588800334,0,"  (0, 275)	0.7700574326173867
  (0, 26)	0.397545730039464
  (0, 7)	0.325593011680444
  (0, 741)	0.378098047790473"
B00007L4N1,2,"  (0, 527)	0.5047247897724064
  (0, 314)	0.5047247897724064
  (0, 779)	0.4855498530198524
  (0, 209)	0.5047247897724064"
0471215716,0,"  (0, 167)	0.722288190840685
  (0, 775)	0.6915921987501668"
1892041413,0,"  (0, 670)	1.0"
0743227433,0,"  (0, 678)	0.6422840401060591
  (0, 136)	0.5989562728165777
  (0, 549)	0.47824951132093335"
0849962676,0,"  (0, 471)	1.0"
0791041131,0,"  (0, 360)	0.5180878916433569
  (0, 765)	0.4682476033466649
  (0, 657)	0.4902215691455029
  (0, 171)	0.5215476312257267"
0964385376,0,"  (0, 766)	0.32209884531110367
  (0, 427)	0.2954718377223916
  (0, 22)	0.35666973758699105
  (0, 566)	0.3652573174384299
  (0, 657)	0.31047141809598194
  (0, 484)	0.28945072148784556
  (0, 519)	0.26972892611462523
  (0, 830)	0.3076159204249069
  (0, 359)	0.3861251392908941
  (0, 876)	0.22732009240480042"
0440415713,0,
1882413024,0,"  (0, 521)	0.6869682755396791
  (0, 393)	0.7266874076258921"
0374523096,0,"  (0, 146)	0.4286475512968597
  (0, 675)	0.44289320981094454
  (0, 314)	0.45634066217172736
  (0, 126)	0.36797378909241635
  (0, 703)	0.26630226865645007
  (0, 39)	0.3070109918804741
  (0, 845)	0.33359065429534906"
1893441695,0,"  (0, 635)	0.4746727241214547
  (0, 660)	0.4643705160033433
  (0, 466)	0.47750628205732015
  (0, 498)	0.4867750339080079
  (0, 703)	0.3067305752636323"
1571882588,0,"  (0, 308)	0.5266496780103298
  (0, 796)	0.4135311972542767
  (0, 689)	0.4034509602894048
  (0, 240)	0.49278772694281514
  (0, 352)	0.3821251684528918"
0769218261,0,"  (0, 65)	0.6035875931320447
  (0, 794)	0.5904231631316307
  (0, 239)	0.5358008080011687"
B000003ONP,1,"  (0, 379)	0.7185769503514178
  (0, 353)	0.6954474577016269"
014023778X,0,"  (0, 38)	0.4150877413513475
  (0, 603)	0.5284775976649724
  (0, 179)	0.5323163111102341
  (0, 50)	0.5148329250078018"
0793807506,0,"  (0, 2)	0.6838113618247436
  (0, 362)	0.542066462047319
  (0, 170)	0.48843215717527455"
0962096733,0,
B000000HF0,1,"  (0, 544)	1.0"
0312862156,0,"  (0, 565)	1.0"
0446389862,0,
0811810984,0,"  (0, 798)	0.3484668547850842
  (0, 318)	0.38066083963724057
  (0, 20)	0.8237604755795177
  (0, 703)	0.234705890756642"
6301045734,3,
B0000262WI,1,"  (0, 174)	1.0"
6301967917,3,"  (0, 95)	1.0"
0027348407,0,"  (0, 881)	1.0"
0872886476,0,"  (0, 843)	0.6029791139341023
  (0, 484)	0.47783502543997114
  (0, 250)	0.27454124431910887
  (0, 705)	0.5768162461215377"
006440823X,0,
0195130529,0,"  (0, 397)	0.4692821550282611
  (0, 629)	0.528265435938402
  (0, 338)	0.5404232267761385
  (0, 126)	0.4567850962167082"
0439406420,0,"  (0, 459)	1.0"
3822860476,0,"  (0, 145)	0.33343486970272557
  (0, 215)	0.5881752078090641
  (0, 625)	0.3439085954307048
  (0, 687)	0.6198329788415505
  (0, 359)	0.20101012142273003"
0971381100,0,"  (0, 805)	0.5244717974016365
  (0, 773)	0.5163967748797749
  (0, 608)	0.44614981431071254
  (0, 717)	0.5091306785242671"
1885167369,0,"  (0, 664)	0.5658428412755835
  (0, 710)	0.5190083460868807
  (0, 359)	0.29908524138071424
  (0, 803)	0.3956720525745595
  (0, 352)	0.4055167824751648"
0875421210,0,"  (0, 538)	0.3704365144416992
  (0, 785)	0.351582406731496
  (0, 243)	0.3896344649315412
  (0, 608)	0.35604132460909743
  (0, 474)	0.37507397587606145
  (0, 606)	0.34357834383220087
  (0, 476)	0.44928787344344207"
0873417909,0,"  (0, 651)	0.35356131129804214
  (0, 343)	0.8052543540425433
  (0, 616)	0.4175785876292566
  (0, 359)	0.22844681569741906"
0064440451,0,"  (0, 642)	0.6620318253498924
  (0, 687)	0.6153363005500602
  (0, 100)	0.42787276081710973"
0140437983,0,"  (0, 577)	0.7491653753250254
  (0, 150)	0.6623830013022026"
0672321971,0,"  (0, 14)	0.3510540615206792
  (0, 208)	0.40251557840730207
  (0, 11)	0.4252876623998644
  (0, 781)	0.40572575895013124
  (0, 839)	0.36054987339677175
  (0, 252)	0.24939316782011106
  (0, 541)	0.42079223424665413"
0029148510,0,"  (0, 75)	0.5400330067764465
  (0, 503)	0.4854347710202842
  (0, 84)	0.5441379738831865
  (0, 845)	0.4202752670033956"
0814766471,0,"  (0, 580)	1.0"
0694524980,0,"  (0, 124)	0.5566951198620355
  (0, 157)	0.508821707020035
  (0, 64)	0.65665136410961"
093314993X,0,"  (0, 783)	0.34096120993736667
  (0, 66)	0.7306161215943067
  (0, 25)	0.37572059069378805
  (0, 84)	0.35940157297198455
  (0, 135)	0.28215258860856574"
046502968X,0,"  (0, 747)	0.4607034189230982
  (0, 825)	0.4788971406688541
  (0, 214)	0.49042760429591314
  (0, 665)	0.46478499371659304
  (0, 378)	0.3191638497891041"
0028642406,0,"  (0, 389)	0.5861273380196498
  (0, 14)	0.5029259036262749
  (0, 252)	0.3572848117490309
  (0, 170)	0.4087821301163458
  (0, 359)	0.32979541003279084"
0761537678,0,"  (0, 760)	0.6521198608084627
  (0, 553)	0.6568566770683539
  (0, 359)	0.3785221168305379"
193168202X,0,"  (0, 867)	1.0"
0786807695,0,
0916562514,0,
0399522719,0,"  (0, 133)	1.0"
1575849100,0,"  (0, 385)	0.4413931479594616
  (0, 340)	0.5345647778317837
  (0, 157)	0.4267969095744288
  (0, 339)	0.42356360975641355
  (0, 87)	0.3973044848776892"
B00005LAPH,1,
0385504209,0,"  (0, 155)	1.0"
0231113854,0,"  (0, 769)	1.0"
0062514547,0,"  (0, 395)	0.4305718727556646
  (0, 187)	0.4793049665931249
  (0, 736)	0.4793049665931249
  (0, 449)	0.5959373795878276"
B0000506TM,1,"  (0, 728)	1.0"
042512911X,0,"  (0, 838)	1.0"
0195019636,0,"  (0, 499)	0.5406369946315044
  (0, 838)	0.5607133485339025
  (0, 267)	0.5006673023268529
  (0, 378)	0.37768297974950477"
0195039343,0,
0380732734,0,"  (0, 211)	0.5103541939650755
  (0, 399)	0.5742830272452133
  (0, 565)	0.44839631212874265
  (0, 532)	0.4568132535179719"
0700609024,0,"  (0, 254)	0.44118703436018886
  (0, 828)	0.46981213338874944
  (0, 128)	0.49112157608429885
  (0, 629)	0.44722321385374153
  (0, 764)	0.37871038344357316"
B00006LU75,2,"  (0, 4)	1.0"
1893554627,0,
0802806929,0,"  (0, 270)	0.5510694067867445
  (0, 562)	0.5934128846496036
  (0, 522)	0.5866716775467703"
0873525825,0,"  (0, 605)	0.5149849010361204
  (0, 878)	0.4724125445450051
  (0, 657)	0.49639449147442016
  (0, 61)	0.5149849010361204"
B000068GAS,1,"  (0, 109)	0.7154958756948981
  (0, 8)	0.6986169564672697"
B000002NH0,1,"  (0, 186)	1.0"
0345406672,0,
0807403563,0,"  (0, 226)	0.5810910941348828
  (0, 211)	0.4967857360046117
  (0, 410)	0.5279003353049974
  (0, 449)	0.3699436562563985"
0672320789,0,
0312119119,0,"  (0, 113)	1.0"
1884834353,0,"  (0, 597)	0.4027178052877312
  (0, 587)	0.4485139156591349
  (0, 744)	0.3522077234242622
  (0, 437)	0.36765056466442725
  (0, 606)	0.3512446112316779
  (0, 717)	0.4153678194932579
  (0, 449)	0.2855402182472613"
0736649417,0,"  (0, 404)	0.49805023235021384
  (0, 64)	0.5482333218888915
  (0, 577)	0.45416667030701974
  (0, 461)	0.4950947650791756"
1876778911,0,"  (0, 169)	0.5521507648246132
  (0, 608)	0.5071924567241747
  (0, 539)	0.5521507648246132
  (0, 703)	0.36471204757902587"
1578064295,0,"  (0, 181)	0.863693590560361
  (0, 703)	0.5040172433805727"
0743445643,0,"  (0, 516)	0.47511544955083534
  (0, 733)	0.43429559834541837
  (0, 213)	0.4532616236036076
  (0, 817)	0.406185158703338
  (0, 744)	0.37309729978850975
  (0, 100)	0.2757146444492768"
0840733208,0,"  (0, 423)	0.37933077173388885
  (0, 872)	0.4137720618461064
  (0, 646)	0.42329483929886125
  (0, 333)	0.39200033920188904
  (0, 340)	0.4306287588571652
  (0, 487)	0.40818737313283826"
0879059788,0,"  (0, 489)	0.5458810820521848
  (0, 557)	0.5994634649259241
  (0, 282)	0.5853694546835712"
043939886X,0,"  (0, 844)	0.6954559606497462
  (0, 356)	0.7185687209980257"
0198164998,0,"  (0, 491)	0.6391738379479576
  (0, 457)	0.6661483954315407
  (0, 703)	0.3843216363241364"
0131100262,0,"  (0, 120)	0.4467783983177492
  (0, 367)	0.43733814881406424
  (0, 252)	0.31393183348035764
  (0, 359)	0.289777998785254
  (0, 152)	0.4924929052421071
  (0, 868)	0.4290112586196047"
1587620685,0,"  (0, 455)	0.8270099162281083
  (0, 466)	0.3756543651106426
  (0, 118)	0.41825637644116953"
0071580255,0,"  (0, 53)	1.0"
0130810819,0,"  (0, 624)	0.4717913949727571
  (0, 542)	0.5309056206425286
  (0, 14)	0.45154255642377006
  (0, 842)	0.4344659790291649
  (0, 252)	0.3207814433603462"
B00004U0FN,2,
078971826X,0,"  (0, 456)	0.621241366227478
  (0, 389)	0.5835887272462015
  (0, 170)	0.40701162965988746
  (0, 359)	0.3283670136304463"
0471983861,0,"  (0, 172)	0.593352498123274
  (0, 228)	0.5693256879133878
  (0, 689)	0.4545500456059459
  (0, 703)	0.3423234290732236"
1879773058,0,"  (0, 444)	0.8344971295205311
  (0, 252)	0.5510122873602672"
B00004TAU0,1,"  (0, 571)	1.0"
0882143786,0,"  (0, 210)	0.7071067811865476
  (0, 487)	0.7071067811865476"
B000002ANX,1,
0140433562,0,"  (0, 879)	0.5228903482777644
  (0, 126)	0.4552829823880671
  (0, 577)	0.4677389452772406
  (0, 150)	0.4135566546495144
  (0, 876)	0.35985311182734264"
0415143551,0,"  (0, 846)	0.7580370583498278
  (0, 43)	0.6522114827019989"
B000002NHZ,1,"  (0, 408)	0.800731202840385
  (0, 85)	0.5990238232305877"
B000068GA4,1,"  (0, 390)	1.0"
B000068GA5,1,
B000002NHU,1,
B000068GA3,1,"  (0, 391)	1.0"
0887292933,0,"  (0, 601)	0.8233127596374055
  (0, 360)	0.4241248135481646
  (0, 359)	0.24955088367158929
  (0, 543)	0.28284023548587167"
B000002NHN,1,"  (0, 100)	0.5778079044503538
  (0, 698)	0.8161727914814917"
B000002NHJ,1,
B000002NHO,1,"  (0, 100)	0.5778079044503538
  (0, 698)	0.8161727914814917"
0834210126,0,"  (0, 173)	0.48221414822268055
  (0, 558)	0.49789059223532905
  (0, 120)	0.4108002025040555
  (0, 367)	0.40212015793967065
  (0, 52)	0.4348758968011784"
B000002NHD,1,
0963288539,0,"  (0, 518)	0.5383759020880191
  (0, 796)	0.4175430455489693
  (0, 627)	0.5201611134367666
  (0, 51)	0.515016125216314"
B000002NHF,1,"  (0, 592)	0.7974625456008223
  (0, 803)	0.6033684515814994"
B000002NHG,1,"  (0, 199)	1.0"
B000002NHC,1,"  (0, 460)	1.0"
B000002NHA,1,"  (0, 590)	0.5762302602636585
  (0, 525)	0.6235343576900669
  (0, 531)	0.528359339783553"
0071372644,0,"  (0, 601)	0.729275784583263
  (0, 651)	0.6842198696475178"
0446677027,0,"  (0, 95)	1.0"
0195131886,0,"  (0, 41)	0.7253885859002172
  (0, 215)	0.6883395960176077"
B00005QSS2,1,"  (0, 460)	1.0"
0684856921,0,"  (0, 309)	0.76998715766635
  (0, 87)	0.6380593836226339"
0792296176,3,"  (0, 426)	0.5987669073927085
  (0, 329)	0.5987669073927085
  (0, 536)	0.5319364447213063"
1555913466,0,"  (0, 658)	0.61710946472333
  (0, 538)	0.5318829697675632
  (0, 362)	0.46905280148119943
  (0, 359)	0.3409778357060193"
0899333397,0,"  (0, 63)	1.0"
0072528613,0,"  (0, 762)	0.6464068312646354
  (0, 796)	0.5336727790277653
  (0, 484)	0.5452995263331843"
0937381608,0,"  (0, 148)	0.38257913574860763
  (0, 785)	0.37402193035199316
  (0, 766)	0.4214876677352473
  (0, 110)	0.4417350658709074
  (0, 703)	0.2723627211364253
  (0, 378)	0.3110523003098338
  (0, 649)	0.41233977814402895"
1565794370,0,"  (0, 207)	0.5061638779866765
  (0, 811)	0.6532213471975047
  (0, 170)	0.4382677199596149
  (0, 359)	0.35358366171016226"
0516262440,0,"  (0, 423)	0.539410667588466
  (0, 333)	0.5574268696875813
  (0, 353)	0.4864186343359076
  (0, 876)	0.4021297412687355"
1892784076,0,"  (0, 18)	0.4520013678620604
  (0, 290)	0.4710768308365729
  (0, 299)	0.43746274547674374
  (0, 207)	0.3608782226719163
  (0, 250)	0.43430805326120697
  (0, 359)	0.25209353917418464"
B00000I9P0,1,"  (0, 302)	0.4731860050229219
  (0, 729)	0.4697737002678737
  (0, 560)	0.41436412296054537
  (0, 590)	0.4204160530432803
  (0, 525)	0.4549289957056212"
B00000I9P1,1,
0874872669,0,"  (0, 687)	1.0"
0898703484,0,"  (0, 122)	0.5750626768432242
  (0, 286)	0.6067894074398316
  (0, 374)	0.5487344828974424"
1551668556,0,"  (0, 687)	1.0"
0262561077,0,"  (0, 261)	0.42607545167853506
  (0, 647)	0.3854260246612646
  (0, 659)	0.4321562191851923
  (0, 796)	0.3654078673229918
  (0, 58)	0.32223767657277347
  (0, 126)	0.3709858156714332
  (0, 101)	0.32887229447971406"
0791415805,0,"  (0, 137)	0.4275995996752353
  (0, 279)	0.4581329957847513
  (0, 196)	0.3816343709303525
  (0, 585)	0.44409958536355976
  (0, 703)	0.2779060993775355
  (0, 50)	0.43263345416661836"
6301966422,3,
B000001VP6,1,"  (0, 592)	0.7420806462093898
  (0, 141)	0.6703106104795404"
1551802775,0,"  (0, 335)	0.30756428468711894
  (0, 746)	0.6548161316392064
  (0, 678)	0.639420722567327
  (0, 113)	0.26030978483615214"
